;name;uploads_str;subs_str;views_str;channel_type;earnings;country
0;HaerteTest;1,123;19.9M;2,955,119,854;Tech;$6.6K  -  $106.4K;DE
1;Kurzgesagt – In a Nutshell;159;18.7M;2,007,218,733;Education;$5.8K  -  $92.4K;DE
2;Crazy Frog;33;12.6M;6,744,768,343;Music;$23.3K  -  $372.7K;DE
3;Pamela Reif;166;8.87M;1,466,806,807;Sports;$6.8K  -  $108.1K;DE
4;freekickerz;1,452;8.68M;2,389,820,846;Sports;$1.9K  -  $30.2K;DE
5;Ameer Bros;231;7.97M;1,467,056,081;Entertainment;$3.7K  -  $59.2K;DE
6;Dhruv Rathee;465;7.75M;942,896,690;Education;$11.7K  -  $187K;DE
7;SurpriseJoe - Nursery Rhymes & Kids Songs;151;7.32M;645,945,852;Education;$1.6K  -  $26K;DE
8;The Voice Kids;1,298;7.24M;2,175,787,292;Entertainment;$5.5K  -  $87.5K;DE
9;Julien Bam;236;5.88M;1,553,361,086;Entertainment;$4.7K  -  $74.9K;DE
10;Craftronix;326;4.25M;1,317,280,948;Film;$290  -  $4.6K;DE
11;Simon Desue;705;4.23M;833,194,417;Entertainment;$50  -  $805;DE
12;DW Documentary;825;4.16M;654,692,553;Education;$1.1K  -  $17.5K;DE
13;ArkivaShqip;8,621;4.14M;6,612,215,561;Entertainment;$11.6K  -  $185.9K;DE
14;ProsafiaGaming;1,985;4.08M;3,935,817,558;Games;$11.2K  -  $179.4K;DE
15;DW Documental;414;4.05M;844,199,338;Education;$3.5K  -  $56.3K;DE
16;Julienco;600;4M;1,468,020,843;Entertainment;$746  -  $11.9K;DE
17;DW News;27,672;4M;1,395,896,585;News;$11.9K  -  $190.6K;DE
18;Dagi Bee;638;3.97M;1,057,310,894;Howto;$333  -  $5.3K;DE
19;Calisthenicmovement;288;3.89M;438,016,231;Sports;$1.3K  -  $20.3K;DE
20;Free Documentary;670;3.72M;849,928,018;Entertainment;$5.4K  -  $86.7K;DE
21;Scorpions;281;3.71M;2,406,044,167;Music;$9.6K  -  $153.1K;DE
22;GermanLetsPlay;6,870;3.67M;2,481,120,491;Games;$2.5K  -  $40.5K;DE
23;Freshtorge;821;3.65M;1,517,618,089;Comedy;$2.5K  -  $39.8K;DE
24;Ikram Bellanova;376;3.65M;471,012,100;Howto;$58  -  $924;DE
25;ApeCrime;700;3.63M;1,144,233,551;Entertainment;$251  -  $4K;DE
26;Robin Schulz;308;3.54M;3,471,712,828;People;$8.2K  -  $130.6K;DE
27;EUROPA Kinderprogramm;290;3.54M;1,389,616,237;Entertainment;$99  -  $1.6K;DE
28;Español Para Niños;4;3.53M;941,453,964;Games;$12  -  $189;DE
29;monsterchannel24;1,575;3.49M;1,660,408,587;Autos;$1.9K  -  $30.3K;DE
30;Family Bros;31;3.36M;720,564,417;Entertainment;$1.7K  -  $26.9K;DE
31;Essen Rezepte;346;3.28M;578,480,437;People;$5.7K  -  $91.9K;DE
32;LEO ROJAS - official;92;3.25M;983,636,837;Music;$2.7K  -  $43.2K;DE
33;DW हिन्दी;2,860;3.25M;612,016,112;Education;$8.7K  -  $139.3K;DE
34;Felix von der Laden;3,903;3.22M;1,430,801,453;Travel;$900  -  $14.4K;DE
35;Standart Skill;2,651;3.18M;1,737,501,669;Games;$3.6K  -  $57.7K;DE
36;Galileo;5,038;3.17M;2,871,336,816;Entertainment;$1.6K  -  $25K;DE
37;Merry Margo Live;462;3.17M;1,254,799,766;Entertainment;$3.6K  -  $57.1K;DE
38;AirwaveMusicTV;3,389;3.15M;1,125,309,464;Music;$3.4K  -  $54.1K;DE
39;Selected.;1,279;3.12M;2,011,600,222;Music;$4.7K  -  $75.1K;DE
40;ClayClaim;369;3.11M;434,339,879;Entertainment;$496  -  $7.9K;DE
41;YTITTY;354;3.09M;788,177,860;Entertainment;$101  -  $1.6K;DE
42;Mascha und der Bär;748;3.08M;1,256,977,079;Film;$2.8K  -  $45.4K;DE
43;Keluarga Bahagia Di Jerman;573;3.07M;500,832,466;People;$2.6K  -  $41.9K;DE
44;BBlocks;115;3.04M;754,645,590;Games;$6.7K  -  $107.2K;DE
45;LeFloid;1,123;3.02M;736,919,066;News;$68  -  $1.1K;DE
46;Younes Zarou;1,668;3.04M;3,632,884,677;Entertainment;$112K  -  $1.8M;DE
47;BangerChannel;800;2.97M;1,981,024,207;Music;$2.1K  -  $33.1K;DE
48;BUSHIDO;235;2.95M;1,534,580,292;Music;$1.2K  -  $19K;DE
49;DW Español;31,611;2.96M;1,333,252,896;News;$11.3K  -  $181.5K;DE
50;MontanaBlack;371;2.9M;321,514,059;People;$114  -  $1.8K;DE
51;JoergSprave;985;2.89M;501,192,103;Tech;$520  -  $8.3K;DE
52;Nuclear Blast Records;6,235;2.87M;2,691,776,071;Music;$5.5K  -  $88.3K;DE
53;Shirin David;75;2.86M;481,561,820;Entertainment;$685  -  $11K;DE
54;iCrimax;2,562;2.83M;1,346,959,505;Games;$7.1K  -  $112.9K;DE
55;Elif Karaman;224;2.79M;566,051,608;Entertainment;$1.2K  -  $18.9K;DE
56;JONAS;1,052;2.77M;838,888,499;Entertainment;$425  -  $6.8K;DE
57;unsympathischTV;566;2.75M;632,904,121;Entertainment;$138  -  $2.2K;DE
58;inscope21;1,227;2.74M;569,624,259;Entertainment;$74  -  $1.2K;DE
59;SpontanaBlack;1,039;2.68M;794,546,845;Games;$2.1K  -  $33.4K;DE
60;FC Bayern München;4,977;2.59M;707,262,472;Sports;$4.4K  -  $71K;DE
61;KinoCheck;5,201;2.58M;2,638,292,384;Entertainment;$4.3K  -  $68.2K;DE
62;xKito Music;1,753;2.58M;2,157,865,763;Music;$3K  -  $47.7K;DE
63;URBAN DANCE CAMP;223;2.56M;507,648,314;Entertainment;$286  -  $4.6K;DE
64;CrhymeTV;130;2.55M;2,035,738,127;Music;$0  -  $0;DE
65;Mady Morrison;178;2.52M;379,772,885;Sports;$2.3K  -  $36.8K;DE
66;iBlali;455;2.51M;664,532,665;Comedy;$0  -  $0;DE
67;marsgizmo;376;2.51M;3,295,889,607;Entertainment;$15.1K  -  $241.4K;DE
68;urbanamadei;504;2.49M;789,760,466;Sports;$2K  -  $31.8K;DE
69;PietSmiet;25,459;2.46M;3,135,139,833;Entertainment;$4.7K  -  $75.9K;DE
70;HandOfBlood;2,072;2.44M;901,005,316;Games;$2.1K  -  $33.8K;DE
71;Dave Ardito;186;2.47M;1,107,665,974;Entertainment;$36.8K  -  $588.9K;DE
72;Arazhul;3,049;2.43M;2,692,752,478;Games;$7.9K  -  $125.7K;DE
73;Leon Machère;295;2.42M;654,589,459;Entertainment;$303  -  $4.9K;DE
74;Bazylland - Tractors & Excavators;707;6.16M;2,847,403,975;Games;$6.5K  -  $104.5K;PL
75;Blowek;1,487;4.77M;1,005,232,749;Entertainment;$570  -  $9.1K;PL
76;Karol Friz Wiśniewski;571;4.59M;2,051,545,292;Entertainment;$4.4K  -  $70.4K;PL
77;reZigiusz;1,247;4.39M;1,046,059,615;Entertainment;$1.7K  -  $26.6K;PL
78;Stuu;1,352;4.26M;1,075,208,681;Entertainment;$256  -  $4.1K;PL
79;Step Records;2,648;3.7M;4,026,533,625;Music;$7.2K  -  $115.9K;PL
80;SA Wardega;46;3.62M;786,593,075;Entertainment;$182  -  $2.9K;PL
81;AbstrachujeTV;686;3.38M;1,549,182,708;Entertainment;$2.4K  -  $38.4K;PL
82;Naruciak;901;3.33M;828,622,576;Entertainment;$1.8K  -  $28.7K;PL
83;SBM Label;1,449;3.2M;3,943,677,145;Music;$17.3K  -  $276.1K;PL
84;Car Music;439;3.14M;1,229,250,727;Music;$2.3K  -  $37.1K;PL
85;BROS SHOW;550;2.63M;912,071,465;People;$3.5K  -  $55.4K;PL
86;DISCO MAREK;7;2.58M;51,535,498;Music;$33  -  $529;PL
87;TheNitroZyniak;591;2.37M;275,408,018;Entertainment;$8.5K  -  $135.4K;PL
88;Kaluch;1,756;2.34M;1,075,193,656;Games;$1.9K  -  $30.4K;PL
89;QueQuality;1,118;2.33M;2,695,220,266;Music;$9.2K  -  $147.6K;PL
90;SPInkafilmstudio;593;2.32M;1,599,430,234;Film;$2.4K  -  $38.2K;PL
91;tvnpl;10,062;2.32M;2,832,582,638;Entertainment;$3.1K  -  $50.3K;PL
92;Софунья Шалунья;491;2.3M;1,083,806,893;People;$7.6K  -  $121.4K;PL
93;Karolek;2,577;2.27M;739,906,226;Games;$1K  -  $16.3K;PL
94;WERSOW;428;2.25M;551,577,250;Entertainment;$1.5K  -  $23.9K;PL
95;5 Sposobów na...;565;2.23M;560,907,548;Tech;$251  -  $4K;PL
96;izak LIVE;1,756;2.16M;802,285,097;Games;$237  -  $3.8K;PL
97;Boomerang Polska;1,168;2.15M;1,118,161,566;Entertainment;$3.2K  -  $51.7K;PL
98;Baby's Adventure;382;2.13M;1,022,696,279;Animals;$91  -  $1.5K;PL
99;JuzzyGamePlay;23;2.09M;669,768,332;Games;$76  -  $1.2K;PL
100;5-minutowe Sztuczki;3,444;2.09M;535,919,087;Howto;$335  -  $5.4K;PL
101;Wojan;230;2.06M;306,202,311;Entertainment;$995  -  $15.9K;PL
102;tomasz gimper działowy;2,670;2.05M;672,783,698;Entertainment;$1.4K  -  $21.6K;PL
103;ProstoTV;1,857;2.05M;2,054,880,602;Music;$1.6K  -  $26.4K;PL
104;YOUNG MULTI & YFL;105;2.02M;252,407,980;Music;$556  -  $8.9K;PL
105;KaliGanjaMafia;390;2M;1,519,115,468;Music;$3.1K  -  $49.9K;PL
106;Tromba;367;1.97M;371,071,032;People;$900  -  $14.4K;PL
107;GPlay: Minecraft Jest Nasz!;1,634;1.92M;1,211,355,775;Games;$2K  -  $32.5K;PL
108;JASNA STRONA;3,868;1.92M;766,045,177;Howto;$3K  -  $48.7K;PL
109;DeeJayPallaside;1,459;1.89M;241,556,199;Entertainment;$370  -  $5.9K;PL
110;MagicRecordsPoland;808;1.89M;1,273,681,331;Music;$1.5K  -  $24.2K;PL
111;Dizowskyy;1,921;1.88M;700,371,349;Games;$1.5K  -  $24K;PL
112;Mandzio;1;1.82M;687,127,796;Games;$246  -  $3.9K;PL
113;BORCREW OFFICIAL;585;1.82M;2,055,843,850;Music;$2.7K  -  $42.5K;PL
114;BRACIA MALCZYŃSCY;495;1.81M;501,249,313;Entertainment;$146  -  $2.3K;PL
115;JDabrowsky;624;1.75M;258,139,192;People;$36  -  $572;PL
116;BEKSY;313;1.75M;590,715,365;Entertainment;$193  -  $3.1K;PL
117;MNXHD;175;1.73M;433,410,244;Sports;$1.3K  -  $21.3K;PL
118;FIT LOVERS;545;1.67M;296,416,927;Entertainment;$327  -  $5.2K;PL
119;ROJSON;4,933;1.66M;442,757,467;Games;$218  -  $3.5K;PL
120;Niekryty Krytyk;425;1.66M;420,898,528;Entertainment;$292  -  $4.7K;PL
121;RoxMb;1,495;1.6M;534,221,621;Games;$158  -  $2.5K;PL
122;Unbox;73;1.6M;25,624,965;People;$11  -  $180;PL
123;smiechawaTV;454;1.59M;772,878,084;Entertainment;$640  -  $10.2K;PL
124;Agnieszka Grzelak Vlog;546;1.59M;422,924,609;Entertainment;$366  -  $5.9K;PL
125;binkie.tv;11;1.58M;308,727,139;Entertainment;$0  -  $0;PL
126;BOXDEL;91;1.56M;25,913,216;Entertainment;$162  -  $2.6K;PL
127;Taco Hemingway;112;1.54M;977,813,715;Music;$1.6K  -  $25.3K;PL
128;Disco Polo Lajf;1,072;1.53M;2,185,088,823;Music;$5.4K  -  $85.7K;PL
129;DominikGameStreamer;64;1.53M;507,468,663;Games;$18  -  $292;PL
130;MINI MAJK;242;1.53M;249,737,451;Entertainment;$182  -  $2.9K;PL
131;UrbanRecTv;1,162;1.52M;914,736,857;Music;$512  -  $8.2K;PL
132;Z Dvpy;742;1.51M;392,965,202;Comedy;$568  -  $9.1K;PL
133;Historia bez cenzury;296;1.51M;374,529,801;Education;$1.6K  -  $26.4K;PL
134;Zajcu37;167;1.51M;294,035,101;Film;$157  -  $2.5K;PL
135;ZeboPL;824;1.48M;277,141,839;Entertainment;$2.2K  -  $35.6K;PL
136;Red Lipstick Monster;924;1.48M;368,964,579;Howto;$220  -  $3.5K;PL
137;Boruciak;413;1.48M;268,505,417;Entertainment;$74  -  $1.2K;PL
138;Remigiusz Maciaszek;6,680;1.47M;534,664,097;People;$147  -  $2.4K;PL
139;Peppa Pig Polski - Kanał Oficjalny;700;1.47M;931,282,495;Film;$2.1K  -  $34K;PL
140;Domi show;400;1.47M;364,952,392;Comedy;$2K  -  $31.7K;PL
141;wip bros;233;1.46M;486,816,299;Comedy;$594  -  $9.5K;PL
142;Cyberpunk 2077;87;1.45M;335,335,960;Games;$480  -  $7.7K;PL
143;Palion;817;1.44M;399,776,534;Entertainment;$3.1K  -  $49.1K;PL
144;AdBuster;285;1.34M;253,951,411;Entertainment;$64  -  $1K;PL
145;NOLIF;1,024;1.33M;335,906,921;Games;$644  -  $10.3K;PL
146;Dilerek Minecraft;1,482;1.33M;390,085,035;Games;$127  -  $2K;PL
147;Cyber Marian;519;1.33M;532,538,940;Entertainment;$948  -  $15.2K;PL
148;Mateusz M;23;1.32M;313,249,361;Film;$298  -  $4.8K;PL
149;Agnieszka Grzelak Beauty;487;1.31M;291,704,727;Howto;$611  -  $9.8K;PL
150;Hejka tu Lenka;832;1.3M;980,565,594;People;$2.4K  -  $37.8K;PL
151;Dawid Frank;281;1.3M;248,661,012;Entertainment;$104  -  $1.7K;PL
152;tvgry;3,356;1.29M;1,052,036,827;Games;$1.4K  -  $22.5K;PL
153;Dominik Łupicki;29;1.29M;26,557,896;Music;$110  -  $1.8K;PL
154;True Beauty;836;1.28M;388,980,688;Howto;$3.4K  -  $53.7K;PL
155;TOP10Wszystkiego;323;1.27M;519,063,939;Education;$1.3K  -  $20.3K;PL
156;Martin Stankiewicz;168;1.27M;277,599,367;Film;$35  -  $556;PL
157;Poczciwy Krzychu;200;1.27M;152,186,145;Entertainment;$551  -  $8.8K;PL
158;Be Inspired;286;8.28M;415,050,091;Education;$3K  -  $48.5K;RO
159;Cat Music;2,430;7.24M;7,802,068,003;Music;$10.2K  -  $162.5K;RO
160;Bogdan's Show;1,073;5.49M;2,016,541,330;People;$3.8K  -  $61.2K;RO
161;TraLaLa - Cantece si desene animate pentru copii;1,197;5.36M;6,376,176,799;Music;$12.3K  -  $197.6K;RO
162;RotonMusicTV;1,579;5.03M;4,521,966,477;Music;$0  -  $0;RO
163;Anabella Show;632;4.94M;1,413,599,065;People;$2.7K  -  $43.4K;RO
164;IULITMx;9,496;4.9M;3,433,179,893;Games;$6.2K  -  $98.8K;RO
165;فِكر تاني;449;4.89M;385,228,730;Education;$2.7K  -  $42.4K;RO
166;Cantece Gradinita .ro;205;4.22M;3,363,474,608;Film;$3.7K  -  $58.9K;RO
167;STR Noticias;684;4.08M;1,107,642,863;Entertainment;$348  -  $5.6K;RO
168;Kidscoco Club;615;3.97M;1,228,583,317;Entertainment;$5.2K  -  $83.7K;RO
169;Nek Music Tv;1,317;3.9M;4,429,762,366;Music;$8.7K  -  $138.6K;RO
170;MediaPro Music;1,501;3.36M;2,751,581,055;Music;$2.8K  -  $44.4K;RO
171;Dani Mocanu © Oficial;191;3.27M;1,760,780,449;Music;$5.9K  -  $93.9K;RO
172;Selly;624;3.13M;848,986,530;Entertainment;$2.2K  -  $36K;RO
173;MaxINFINITE;6,921;3.04M;2,479,914,941;Games;$6.3K  -  $100.5K;RO
174;Video Advice;246;2.92M;254,707,059;Education;$1.2K  -  $18.6K;RO
175;Andrei Terbea;137;2.85M;300,784,805;Comedy;$220  -  $3.5K;RO
176;Izabeloi;316;2.78M;991,219,378;Howto;$598  -  $9.6K;RO
177;Thrace Music;190;2.73M;1,023,015,475;Music;$4.6K  -  $73.1K;RO
178;Crunchy Fluffy;834;2.63M;870,716,549;Entertainment;$52  -  $838;RO
179;iUmor;3,484;2.47M;1,852,323,274;Comedy;$3K  -  $47.3K;RO
180;AmmA Music & Sound;1,118;2.43M;2,330,380,144;Music;$4.8K  -  $76.8K;RO
181;iRaphahell;6,361;2.41M;1,264,882,521;Games;$2K  -  $31.4K;RO
182;STR Red;331;2.39M;506,400,197;Entertainment;$615  -  $9.8K;RO
183;XBRAKER VS ARCADE;10,146;2.31M;1,157,986,704;Games;$724  -  $11.6K;RO
184;Big Man Romania;1,256;2.26M;1,746,187,474;Music;$4.6K  -  $73.5K;RO
185;Dorian Popa;1,105;2.12M;551,234,644;Entertainment;$1.4K  -  $22.9K;RO
186;Throneful;58,582;2.09M;1,443,587,412;Games;$2.2K  -  $34.8K;RO
187;Andra;466;1.84M;1,813,336,362;Music;$1.9K  -  $30.3K;RO
188;Vlad Munteanu;381;1.83M;290,752,385;Entertainment;$635  -  $10.2K;RO
189;Bianca Adam;612;1.78M;291,290,842;Entertainment;$165  -  $2.6K;RO
190;Bogdan IBMFamily;711;1.69M;397,391,707;Entertainment;$46  -  $730;RO
191;JamilaCuisine;909;1.64M;486,384,928;Howto;$974  -  $15.6K;RO
192;Jasmina Show;1,181;1.63M;765,643,770;Entertainment;$1.4K  -  $22.3K;RO
193;B.U.G. Mafia;315;1.62M;1,274,646,667;Music;$3.3K  -  $53.4K;RO
194;Next Star;2,209;1.62M;1,185,982,165;Music;$331  -  $5.3K;RO
195;Doi Degeaba;243;1.62M;443,747,592;Comedy;$804  -  $12.9K;RO
196;Melly Karamely;614;1.61M;725,513,398;Entertainment;$392  -  $6.3K;RO
197;Данька ТВ;142;1.53M;309,204,304;Entertainment;$268  -  $4.3K;RO
198;Antena 1;36,710;1.52M;1,291,729,358;Entertainment;$1.4K  -  $22.6K;RO
199;La povesti cu Jimmy;162;1.5M;376,163,595;Film;$3.2K  -  $50.7K;RO
200;KIDS TOYS CHANNEL;555;1.48M;925,088,579;Film;$47  -  $748;RO
201;SergiuHellDragoonHQ;15,233;1.47M;1,049,415,758;Games;$2.7K  -  $43.9K;RO
202;Mihai-Alexandru Hash;413;1.45M;67,003,121;Entertainment;$99  -  $1.6K;RO
203;IHATEPINK;4,081;1.45M;514,201,222;Games;$865  -  $13.8K;RO
204;Boomerang România;847;1.46M;735,066,290;Entertainment;$1.6K  -  $26.3K;RO
205;xSlayder;4,013;1.44M;487,327,835;Games;$805  -  $12.9K;RO
206;BettyL Club;1,426;1.44M;1,511,759,116;Entertainment;$22.5K  -  $359.5K;RO
207;MrEdxwx;3,389;1.42M;974,913,585;Games;$515  -  $8.2K;RO
208;Codrin Bradea : Satana;759;1.4M;433,789,091;Entertainment;$485  -  $7.8K;RO
209;SNIK;1,386;1.4M;263,011,856;Entertainment;$1.2K  -  $18.6K;RO
210;Jador;281;1.39M;419,081,164;Entertainment;$2.4K  -  $39.1K;RO
211;Florentin Hriscu;1,096;1.38M;324,005,212;People;$118  -  $1.9K;RO
